week,revenue
04.09.2023,65829690.49470149
11.09.2023,69004104.3511947
18.09.2023,70421432.92310697
25.09.2023,76495661.1658421
02.10.2023,78064290.17156492
09.10.2023,76741267.27758054
16.10.2023,75703707.10502818
23.10.2023,73725149.75503384
30.10.2023,74461552.18386029
06.11.2023,72081956.52959992
13.11.2023,71466595.96591903
20.11.2023,73069345.4274023
27.11.2023,73013042.15967947
04.12.2023,73069523.46259685
11.12.2023,73431764.23833476
18.12.2023,76504312.23562889
25.12.2023,71177538.81531683
01.01.2024,66475745.713801146
08.01.2024,65298547.95906642
15.01.2024,70244884.52615717
22.01.2024,74799792.96167931
29.01.2024,72464391.46077181
05.02.2024,73168599.34618531
12.02.2024,77968894.85228695
19.02.2024,72752838.46198353
26.02.2024,72160744.98488025
04.03.2024,64391311.530593485
11.03.2024,58717661.1998523
18.03.2024,57619418.85161763
