week,revenue
04.09.2023,66187994.19840599
11.09.2023,80952658.72953281
18.09.2023,82685463.45428619
25.09.2023,80458403.5530952
02.10.2023,79730574.45328982
09.10.2023,78955567.50017895
16.10.2023,80252446.85608323
23.10.2023,76839943.58279516
30.10.2023,75796336.10015467
06.11.2023,74695715.4479146
13.11.2023,74289799.8488587
20.11.2023,72611064.69142893
27.11.2023,74273393.68518405
04.12.2023,73889298.62786198
11.12.2023,75523437.37798488
18.12.2023,72817440.46998192
25.12.2023,73036621.23634245
01.01.2024,67945345.66612883
08.01.2024,63275402.65157836
15.01.2024,64014706.22096656
22.01.2024,66610715.847276844
29.01.2024,65297241.460137695
05.02.2024,68167764.83155172
12.02.2024,71646222.13925059
19.02.2024,67939002.32189123
26.02.2024,63261853.89151359
04.03.2024,61622351.2677886
11.03.2024,59698425.88004781
18.03.2024,61275883.34892946
